student_gpa_band,student_gre_band,program_id,admit_result,term
3.7-3.9,310-319,P001923,Admit,Fall 2025
3.5-3.7,,P003210,Reject,Fall 2021
3.9-4.0,320-329,P003761,Admit,Fall 2026
3.7-3.9,300-309,P002144,Reject,Fall 2025
3.4-3.5,,P004270,Admit,Fall 2026
3.5-3.7,310-319,P002744,Reject,Fall 2023
3.2-3.4,310-319,P003211,Admit,Fall 2026
3.7-3.9,320-329,P001691,Admit,Fall 2024
3.9-4.0,320-329,P003178,Admit,Fall 2025
3.4-3.5,,P000722,Admit,Fall 2024
3.9-4.0,330-340,P002506,Admit,Fall 2026
3.7-3.9,310-319,P000149,Admit,Fall 2025
3.2-3.4,300-309,P001490,Reject,Fall 2023
3.4-3.5,330-340,P001283,Admit,Fall 2024
3.7-3.9,320-329,P003751,Admit,Fall 2025
3.9-4.0,320-329,P004935,Reject,Fall 2025
3.4-3.5,,P004412,Reject,Fall 2025
3.0-3.2,310-319,P001606,Admit,Fall 2024
3.2-3.4,330-340,P004938,Reject,Fall 2023
3.2-3.4,320-329,P003004,Admit,Fall 2025
3.4-3.5,,P002033,Admit,Fall 2025
3.2-3.4,310-319,P000714,Reject,Fall 2026
3.7-3.9,300-309,P004831,Admit,Fall 2025
3.2-3.4,300-309,P003976,Reject,Fall 2026
3.0-3.2,,P000498,Reject,Fall 2025
3.5-3.7,300-309,P004571,Waitlist,Fall 2026
3.5-3.7,320-329,P004030,Waitlist,Fall 2025
3.5-3.7,,P004037,Reject,Fall 2024
3.4-3.5,310-319,P004035,Waitlist,Fall 2025
3.4-3.5,310-319,P001262,Reject,Fall 2025
3.9-4.0,290-299,P004541,Reject,Fall 2026
3.7-3.9,,P001808,Admit,Fall 2023
3.4-3.5,320-329,P004826,Waitlist,Fall 2025
3.4-3.5,310-319,P002797,Admit,Fall 2021
3.9-4.0,,P001394,Reject,Fall 2025
3.7-3.9,300-309,P004769,Admit,Fall 2026
3.7-3.9,310-319,P001145,Admit,Fall 2026
2.8-3.0,,P004851,Reject,Fall 2022
3.4-3.5,,P002689,Reject,Fall 2025
3.2-3.4,320-329,P002941,Admit,Fall 2025
3.7-3.9,330-340,P003862,Admit,Fall 2024
3.4-3.5,320-329,P004253,Admit,Fall 2022
3.7-3.9,320-329,P002354,Admit,Fall 2026
3.4-3.5,310-319,P000273,Admit,Fall 2023
3.7-3.9,,P002811,Admit,Fall 2024
3.0-3.2,330-340,P003117,Admit,Fall 2023
3.5-3.7,290-299,P000691,Reject,Fall 2026
3.5-3.7,320-329,P004185,Admit,Fall 2023
3.7-3.9,320-329,P000281,Reject,Fall 2026
3.2-3.4,310-319,P003317,Admit,Fall 2026
3.7-3.9,,P003778,Reject,Fall 2026
3.5-3.7,320-329,P001813,Reject,Fall 2025
3.5-3.7,,P003787,Waitlist,Fall 2026
3.5-3.7,,P003510,Admit,Fall 2026
3.2-3.4,310-319,P003495,Waitlist,Fall 2024
3.7-3.9,300-309,P000456,Admit,Fall 2024
3.7-3.9,330-340,P004863,Reject,Fall 2026
3.9-4.0,,P002736,Admit,Fall 2024
3.4-3.5,,P004783,Admit,Fall 2023
3.7-3.9,300-309,P000983,Reject,Fall 2026
3.2-3.4,310-319,P000733,Waitlist,Fall 2024
3.7-3.9,320-329,P003352,Reject,Fall 2026
3.4-3.5,310-319,P000187,Waitlist,Fall 2026
3.4-3.5,300-309,P000364,Admit,Fall 2022
3.4-3.5,,P002409,Reject,Fall 2022
3.5-3.7,,P001981,Reject,Fall 2022
3.2-3.4,,P002638,Admit,Fall 2026
3.2-3.4,310-319,P000204,Admit,Fall 2021
3.7-3.9,,P004517,Admit,Fall 2026
3.0-3.2,320-329,P002648,Reject,Fall 2026
3.5-3.7,,P003337,Admit,Fall 2026
3.2-3.4,,P000472,Reject,Fall 2025
3.5-3.7,330-340,P002437,Admit,Fall 2026
3.4-3.5,300-309,P000670,Admit,Fall 2021
3.7-3.9,,P001701,Reject,Fall 2026
3.7-3.9,310-319,P003053,Reject,Fall 2023
2.8-3.0,,P001492,Admit,Fall 2023
3.9-4.0,330-340,P004706,Reject,Fall 2025
3.9-4.0,,P004005,Reject,Fall 2024
3.5-3.7,,P002323,Admit,Fall 2024
3.5-3.7,310-319,P004681,Reject,Fall 2025
3.7-3.9,310-319,P003695,Admit,Fall 2023
3.5-3.7,,P001977,Reject,Fall 2024
3.2-3.4,310-319,P002601,Reject,Fall 2026
3.2-3.4,300-309,P002590,Waitlist,Fall 2026
3.7-3.9,310-319,P001331,Admit,Fall 2022
3.4-3.5,310-319,P001207,Reject,Fall 2023
3.4-3.5,320-329,P002690,Reject,Fall 2026
3.4-3.5,300-309,P003133,Admit,Fall 2026
3.2-3.4,,P004332,Admit,Fall 2023
3.5-3.7,,P002050,Admit,Fall 2024
3.5-3.7,,P002491,Admit,Fall 2023
3.5-3.7,290-299,P000124,Admit,Fall 2024
3.5-3.7,,P002027,Reject,Fall 2026
3.7-3.9,320-329,P000992,Admit,Fall 2025
3.5-3.7,,P000072,Admit,Fall 2024
3.5-3.7,330-340,P004085,Reject,Fall 2024
3.0-3.2,310-319,P001022,Waitlist,Fall 2024
3.2-3.4,320-329,P000998,Admit,Fall 2024
3.7-3.9,,P003527,Admit,Fall 2026
3.7-3.9,310-319,P003978,Reject,Fall 2025
3.5-3.7,320-329,P000533,Reject,Fall 2025
3.7-3.9,,P002114,Reject,Fall 2024
3.5-3.7,310-319,P003467,Admit,Fall 2026
3.7-3.9,310-319,P004227,Admit,Fall 2024
3.7-3.9,310-319,P004667,Admit,Fall 2023
3.2-3.4,300-309,P001537,Reject,Fall 2025
3.7-3.9,320-329,P001617,Admit,Fall 2026
3.5-3.7,,P000656,Admit,Fall 2026
3.9-4.0,330-340,P004288,Admit,Fall 2025
3.2-3.4,330-340,P001314,Admit,Fall 2023
3.7-3.9,,P003676,Admit,Fall 2025
3.5-3.7,290-299,P003912,Reject,Fall 2026
3.5-3.7,,P004978,Waitlist,Fall 2024
3.4-3.5,310-319,P002635,Reject,Fall 2026
3.4-3.5,330-340,P001252,Admit,Fall 2021
2.8-3.0,320-329,P000512,Reject,Fall 2024
2.8-3.0,,P003128,Admit,Fall 2024
3.5-3.7,,P004711,Admit,Fall 2023
3.7-3.9,300-309,P003681,Admit,Fall 2024
3.5-3.7,,P001670,Reject,Fall 2025
3.5-3.7,320-329,P000598,Waitlist,Fall 2025
3.9-4.0,320-329,P003532,Reject,Fall 2023
3.2-3.4,320-329,P001411,Admit,Fall 2026
3.7-3.9,,P001196,Admit,Fall 2026
3.9-4.0,,P003173,Admit,Fall 2024
3.2-3.4,320-329,P001653,Reject,Fall 2022
3.4-3.5,310-319,P001232,Admit,Fall 2025
3.5-3.7,310-319,P004005,Reject,Fall 2023
3.7-3.9,,P001372,Admit,Fall 2022
2.8-3.0,330-340,P001018,Admit,Fall 2024
3.9-4.0,320-329,P000725,Admit,Fall 2025
3.5-3.7,320-329,P003288,Reject,Fall 2024
3.4-3.5,,P003854,Reject,Fall 2026
3.2-3.4,300-309,P001055,Admit,Fall 2024
3.7-3.9,,P002573,Admit,Fall 2022
3.2-3.4,,P001542,Admit,Fall 2026
3.7-3.9,320-329,P001871,Admit,Fall 2024
3.4-3.5,,P001172,Reject,Fall 2026
3.5-3.7,320-329,P004267,Admit,Fall 2025
3.7-3.9,320-329,P002203,Reject,Fall 2024
2.8-3.0,310-319,P004536,Waitlist,Fall 2025
3.4-3.5,,P003574,Admit,Fall 2021
3.2-3.4,,P004155,Reject,Fall 2021
3.2-3.4,,P004195,Admit,Fall 2025
3.2-3.4,310-319,P002097,Admit,Fall 2026
3.9-4.0,320-329,P004376,Waitlist,Fall 2026
3.5-3.7,310-319,P000677,Reject,Fall 2023
2.8-3.0,300-309,P004533,Reject,Fall 2024
3.5-3.7,300-309,P001067,Reject,Fall 2026
3.5-3.7,,P004777,Reject,Fall 2025
3.7-3.9,310-319,P001862,Admit,Fall 2025
3.4-3.5,,P002408,Reject,Fall 2025
3.7-3.9,,P002462,Reject,Fall 2026
3.9-4.0,,P004881,Waitlist,Fall 2023
3.4-3.5,320-329,P000372,Admit,Fall 2024
3.4-3.5,310-319,P001450,Reject,Fall 2024
3.7-3.9,,P002724,Admit,Fall 2023
3.2-3.4,310-319,P004356,Admit,Fall 2023
3.2-3.4,300-309,P000630,Admit,Fall 2026
3.2-3.4,,P003233,Admit,Fall 2022
3.9-4.0,,P000304,Admit,Fall 2024
3.7-3.9,,P002161,Reject,Fall 2025
2.8-3.0,300-309,P001855,Reject,Fall 2025
3.7-3.9,320-329,P004116,Admit,Fall 2026
3.4-3.5,310-319,P000072,Reject,Fall 2025
2.8-3.0,320-329,P000388,Reject,Fall 2024
3.4-3.5,310-319,P003911,Admit,Fall 2023
3.2-3.4,,P000315,Reject,Fall 2025
3.5-3.7,,P004281,Admit,Fall 2024
3.4-3.5,320-329,P003187,Reject,Fall 2022
3.7-3.9,310-319,P003191,Reject,Fall 2022
3.5-3.7,320-329,P004830,Admit,Fall 2022
3.4-3.5,,P002714,Admit,Fall 2026
3.5-3.7,,P001543,Admit,Fall 2026
3.5-3.7,330-340,P003303,Admit,Fall 2026
3.5-3.7,320-329,P000264,Admit,Fall 2023
3.2-3.4,,P003108,Reject,Fall 2025
3.5-3.7,320-329,P004002,Admit,Fall 2025
3.9-4.0,300-309,P002432,Admit,Fall 2026
3.4-3.5,,P000943,Admit,Fall 2023
3.7-3.9,,P002653,Reject,Fall 2025
3.7-3.9,320-329,P002382,Reject,Fall 2026
3.5-3.7,310-319,P001169,Admit,Fall 2026
3.7-3.9,320-329,P004676,Admit,Fall 2026
3.7-3.9,320-329,P000781,Admit,Fall 2023
3.5-3.7,300-309,P003472,Waitlist,Fall 2023
3.9-4.0,310-319,P002017,Admit,Fall 2021
3.5-3.7,320-329,P003651,Admit,Fall 2026
3.9-4.0,310-319,P004431,Reject,Fall 2025
3.7-3.9,,P004676,Reject,Fall 2026
3.2-3.4,,P000808,Reject,Fall 2023
3.7-3.9,,P004005,Admit,Fall 2021
3.5-3.7,290-299,P004509,Reject,Fall 2023
3.7-3.9,320-329,P003537,Admit,Fall 2025
3.7-3.9,320-329,P001082,Admit,Fall 2026
3.7-3.9,300-309,P001542,Waitlist,Fall 2025
3.7-3.9,310-319,P000867,Admit,Fall 2025
2.8-3.0,,P003850,Admit,Fall 2024
3.2-3.4,320-329,P002569,Admit,Fall 2022
3.4-3.5,290-299,P001782,Reject,Fall 2024
3.2-3.4,310-319,P003155,Reject,Fall 2026
3.0-3.2,,P000372,Reject,Fall 2025
3.7-3.9,,P001662,Admit,Fall 2025
3.9-4.0,,P000690,Admit,Fall 2026
3.5-3.7,310-319,P001132,Admit,Fall 2026
3.7-3.9,310-319,P001984,Reject,Fall 2025
3.4-3.5,300-309,P003009,Reject,Fall 2023
3.7-3.9,,P004426,Reject,Fall 2024
3.5-3.7,,P002868,Admit,Fall 2025
3.7-3.9,,P000012,Admit,Fall 2024
3.5-3.7,310-319,P000586,Waitlist,Fall 2023
3.7-3.9,330-340,P002153,Reject,Fall 2025
3.4-3.5,320-329,P004775,Admit,Fall 2026
3.5-3.7,300-309,P001609,Waitlist,Fall 2026
3.7-3.9,300-309,P004849,Admit,Fall 2024
3.0-3.2,,P003375,Admit,Fall 2025
3.7-3.9,,P001698,Admit,Fall 2022
3.9-4.0,,P000176,Admit,Fall 2022
3.0-3.2,,P004241,Reject,Fall 2024
3.5-3.7,310-319,P000794,Reject,Fall 2026
3.9-4.0,310-319,P002922,Admit,Fall 2023
3.5-3.7,,P002298,Reject,Fall 2026
3.4-3.5,320-329,P003355,Admit,Fall 2026
3.4-3.5,310-319,P003055,Admit,Fall 2025
3.2-3.4,310-319,P003704,Admit,Fall 2022
3.5-3.7,320-329,P004987,Reject,Fall 2023
3.9-4.0,320-329,P003673,Admit,Fall 2022
3.7-3.9,330-340,P003702,Reject,Fall 2025
3.4-3.5,,P003064,Admit,Fall 2025
3.7-3.9,310-319,P004772,Admit,Fall 2025
3.7-3.9,,P004674,Admit,Fall 2023
3.2-3.4,,P000203,Reject,Fall 2024
3.0-3.2,290-299,P003613,Reject,Fall 2022
3.4-3.5,320-329,P001875,Admit,Fall 2025
3.7-3.9,,P002953,Waitlist,Fall 2024
3.4-3.5,,P001458,Reject,Fall 2025
3.7-3.9,,P003712,Admit,Fall 2025
3.9-4.0,320-329,P003307,Admit,Fall 2024
3.7-3.9,320-329,P003745,Admit,Fall 2026
3.4-3.5,320-329,P002914,Waitlist,Fall 2026
3.2-3.4,320-329,P003092,Reject,Fall 2026
3.5-3.7,,P000742,Admit,Fall 2023
3.7-3.9,310-319,P000997,Admit,Fall 2025
3.9-4.0,310-319,P004406,Admit,Fall 2022
3.5-3.7,310-319,P002016,Waitlist,Fall 2022
3.7-3.9,310-319,P003455,Admit,Fall 2026
3.7-3.9,,P001084,Admit,Fall 2025
3.5-3.7,320-329,P004721,Reject,Fall 2025
3.5-3.7,310-319,P003658,Admit,Fall 2025
3.5-3.7,310-319,P001834,Waitlist,Fall 2026
3.4-3.5,310-319,P001888,Reject,Fall 2025
3.7-3.9,320-329,P001657,Admit,Fall 2024
3.7-3.9,320-329,P004705,Reject,Fall 2022
3.7-3.9,320-329,P004452,Reject,Fall 2024
3.7-3.9,320-329,P002443,Admit,Fall 2026
3.5-3.7,,P000643,Waitlist,Fall 2024
3.9-4.0,320-329,P000643,Admit,Fall 2021
3.5-3.7,320-329,P001807,Admit,Fall 2025
3.9-4.0,,P004624,Reject,Fall 2021
3.4-3.5,330-340,P000275,Admit,Fall 2026
3.5-3.7,,P002044,Reject,Fall 2024
3.7-3.9,320-329,P000002,Admit,Fall 2025
3.5-3.7,320-329,P000710,Admit,Fall 2025
3.2-3.4,330-340,P001674,Admit,Fall 2022
3.5-3.7,310-319,P000062,Waitlist,Fall 2026
3.7-3.9,,P000538,Admit,Fall 2024
3.4-3.5,300-309,P001430,Waitlist,Fall 2024
3.4-3.5,320-329,P003895,Reject,Fall 2021
3.7-3.9,310-319,P001764,Admit,Fall 2023
3.2-3.4,,P001938,Waitlist,Fall 2023
3.9-4.0,,P004797,Admit,Fall 2021
3.5-3.7,330-340,P004477,Admit,Fall 2024
3.7-3.9,,P004606,Reject,Fall 2023
3.9-4.0,320-329,P000954,Admit,Fall 2023
3.0-3.2,300-309,P000275,Reject,Fall 2026
3.4-3.5,310-319,P002224,Admit,Fall 2025
3.5-3.7,300-309,P000396,Reject,Fall 2022
3.2-3.4,330-340,P002146,Reject,Fall 2025
3.5-3.7,330-340,P001454,Reject,Fall 2025
3.0-3.2,310-319,P003497,Reject,Fall 2025
3.7-3.9,310-319,P003663,Admit,Fall 2025
3.5-3.7,310-319,P004373,Admit,Fall 2025
3.7-3.9,320-329,P001451,Reject,Fall 2025
3.7-3.9,320-329,P004637,Admit,Fall 2023
3.5-3.7,320-329,P002403,Reject,Fall 2026
3.5-3.7,290-299,P001788,Waitlist,Fall 2026
3.5-3.7,,P002798,Admit,Fall 2023
3.7-3.9,,P001885,Reject,Fall 2025
3.9-4.0,320-329,P004329,Admit,Fall 2025
3.7-3.9,310-319,P001482,Admit,Fall 2025
3.7-3.9,,P004252,Admit,Fall 2023
3.5-3.7,,P001262,Admit,Fall 2023
3.0-3.2,320-329,P001142,Reject,Fall 2026
3.0-3.2,,P003836,Reject,Fall 2026
3.7-3.9,330-340,P001383,Waitlist,Fall 2022
3.5-3.7,310-319,P002864,Reject,Fall 2026
3.5-3.7,300-309,P001357,Admit,Fall 2023
3.4-3.5,320-329,P001486,Admit,Fall 2025
3.7-3.9,,P002095,Admit,Fall 2026
3.5-3.7,310-319,P004925,Admit,Fall 2025
3.2-3.4,,P000784,Admit,Fall 2022
3.5-3.7,,P001022,Reject,Fall 2024
3.7-3.9,320-329,P004730,Reject,Fall 2026
3.4-3.5,310-319,P001002,Reject,Fall 2026
3.4-3.5,,P004694,Admit,Fall 2022
3.9-4.0,,P001311,Reject,Fall 2024
3.9-4.0,,P000091,Reject,Fall 2023
3.5-3.7,,P004610,Waitlist,Fall 2023
3.4-3.5,310-319,P003393,Reject,Fall 2026
3.2-3.4,300-309,P004878,Reject,Fall 2024
3.7-3.9,300-309,P002426,Admit,Fall 2025
3.2-3.4,320-329,P001695,Admit,Fall 2026
3.2-3.4,,P004398,Reject,Fall 2026
3.2-3.4,,P002872,Admit,Fall 2023
3.7-3.9,320-329,P002092,Admit,Fall 2026
3.7-3.9,310-319,P003094,Reject,Fall 2025
3.7-3.9,310-319,P002248,Waitlist,Fall 2024
3.7-3.9,,P004001,Admit,Fall 2025
3.5-3.7,,P004781,Admit,Fall 2023
3.5-3.7,320-329,P002051,Admit,Fall 2022
3.9-4.0,310-319,P000475,Admit,Fall 2026
2.8-3.0,320-329,P001383,Admit,Fall 2025
3.7-3.9,300-309,P001536,Admit,Fall 2023
3.2-3.4,310-319,P003816,Reject,Fall 2022
3.4-3.5,310-319,P004777,Admit,Fall 2025
3.7-3.9,310-319,P002691,Admit,Fall 2026
3.9-4.0,,P001178,Admit,Fall 2023
3.2-3.4,300-309,P003886,Admit,Fall 2025
3.2-3.4,310-319,P002627,Reject,Fall 2025
3.5-3.7,320-329,P004707,Admit,Fall 2021
3.4-3.5,310-319,P000271,Admit,Fall 2025
3.5-3.7,,P000906,Reject,Fall 2024
3.5-3.7,300-309,P004796,Admit,Fall 2024
3.7-3.9,320-329,P001196,Admit,Fall 2025
3.9-4.0,,P002970,Admit,Fall 2026
3.7-3.9,,P003515,Admit,Fall 2024
3.4-3.5,310-319,P002561,Reject,Fall 2024
3.5-3.7,330-340,P003323,Admit,Fall 2021
3.2-3.4,310-319,P000101,Reject,Fall 2024
3.5-3.7,310-319,P000293,Reject,Fall 2026
3.7-3.9,,P003685,Reject,Fall 2026
3.5-3.7,310-319,P002090,Admit,Fall 2026
3.5-3.7,320-329,P003301,Reject,Fall 2026
3.2-3.4,300-309,P004930,Reject,Fall 2022
3.7-3.9,320-329,P003904,Admit,Fall 2024
3.2-3.4,310-319,P001657,Admit,Fall 2025
3.7-3.9,,P001389,Admit,Fall 2022
3.5-3.7,320-329,P003912,Admit,Fall 2024
3.5-3.7,310-319,P000201,Reject,Fall 2025
3.7-3.9,,P003238,Reject,Fall 2024
3.5-3.7,310-319,P004692,Waitlist,Fall 2026
3.5-3.7,320-329,P001987,Admit,Fall 2025
3.4-3.5,310-319,P001282,Admit,Fall 2025
3.0-3.2,,P001184,Reject,Fall 2024
3.5-3.7,,P000502,Admit,Fall 2024
3.5-3.7,,P003164,Admit,Fall 2023
3.4-3.5,310-319,P002266,Admit,Fall 2024
3.4-3.5,,P003591,Admit,Fall 2023
3.2-3.4,310-319,P003173,Admit,Fall 2026
3.7-3.9,320-329,P000884,Admit,Fall 2025
3.9-4.0,300-309,P001947,Admit,Fall 2026
3.5-3.7,320-329,P004892,Admit,Fall 2026
3.5-3.7,310-319,P000077,Reject,Fall 2021
3.4-3.5,310-319,P002627,Admit,Fall 2025
3.4-3.5,,P004132,Waitlist,Fall 2024
3.4-3.5,310-319,P000338,Admit,Fall 2025
3.7-3.9,310-319,P000029,Admit,Fall 2026
3.5-3.7,320-329,P000196,Reject,Fall 2023
3.9-4.0,300-309,P002316,Admit,Fall 2022
2.8-3.0,,P003075,Waitlist,Fall 2023
3.5-3.7,,P003977,Admit,Fall 2026
3.0-3.2,,P000832,Reject,Fall 2025
3.5-3.7,310-319,P004988,Reject,Fall 2024
3.4-3.5,320-329,P002968,Admit,Fall 2024
3.7-3.9,320-329,P001074,Waitlist,Fall 2023
3.7-3.9,320-329,P004007,Admit,Fall 2024
3.7-3.9,,P004044,Admit,Fall 2023
3.5-3.7,310-319,P004535,Reject,Fall 2024
3.7-3.9,,P001633,Admit,Fall 2026
3.5-3.7,,P002445,Waitlist,Fall 2025
3.7-3.9,320-329,P002134,Admit,Fall 2025
3.4-3.5,,P002170,Admit,Fall 2026
3.5-3.7,,P001062,Waitlist,Fall 2024
3.7-3.9,310-319,P004322,Reject,Fall 2025
3.7-3.9,310-319,P000578,Admit,Fall 2024
3.7-3.9,330-340,P001386,Admit,Fall 2024
3.4-3.5,320-329,P001871,Reject,Fall 2023
3.4-3.5,310-319,P002793,Admit,Fall 2024
3.9-4.0,330-340,P003990,Waitlist,Fall 2025
3.4-3.5,,P000364,Admit,Fall 2026
3.5-3.7,320-329,P000784,Admit,Fall 2024
3.7-3.9,300-309,P003830,Reject,Fall 2026
3.5-3.7,310-319,P000773,Admit,Fall 2023
3.2-3.4,,P003691,Waitlist,Fall 2023
3.7-3.9,320-329,P002973,Admit,Fall 2025
3.4-3.5,300-309,P002197,Admit,Fall 2022
3.4-3.5,,P001765,Reject,Fall 2022
3.4-3.5,310-319,P004831,Waitlist,Fall 2026
3.5-3.7,330-340,P002102,Admit,Fall 2025
3.0-3.2,320-329,P000705,Admit,Fall 2026
3.7-3.9,310-319,P001410,Admit,Fall 2026
2.8-3.0,330-340,P002125,Admit,Fall 2025
3.7-3.9,310-319,P003517,Reject,Fall 2025
2.8-3.0,320-329,P001355,Reject,Fall 2024
3.7-3.9,300-309,P001577,Admit,Fall 2026
3.5-3.7,,P000532,Admit,Fall 2026
3.4-3.5,,P003509,Admit,Fall 2026
3.9-4.0,320-329,P004712,Reject,Fall 2023
3.5-3.7,,P000351,Reject,Fall 2024
3.4-3.5,310-319,P003346,Reject,Fall 2021
3.5-3.7,,P002443,Reject,Fall 2025
3.0-3.2,290-299,P001521,Waitlist,Fall 2024
3.5-3.7,,P002607,Admit,Fall 2022
3.4-3.5,310-319,P001541,Admit,Fall 2026
3.5-3.7,330-340,P001532,Admit,Fall 2024
3.4-3.5,290-299,P004321,Admit,Fall 2024
3.4-3.5,,P003314,Admit,Fall 2026
3.2-3.4,,P003634,Admit,Fall 2026
3.5-3.7,310-319,P002941,Admit,Fall 2025
3.5-3.7,,P003447,Reject,Fall 2023
3.4-3.5,330-340,P003106,Reject,Fall 2025
3.7-3.9,300-309,P001973,Waitlist,Fall 2026
3.5-3.7,320-329,P002844,Reject,Fall 2024
3.5-3.7,,P004322,Admit,Fall 2023
3.7-3.9,320-329,P001662,Admit,Fall 2025
3.9-4.0,330-340,P004585,Admit,Fall 2024
3.4-3.5,300-309,P003375,Admit,Fall 2025
3.7-3.9,320-329,P001789,Admit,Fall 2026
3.7-3.9,,P004229,Admit,Fall 2025
3.5-3.7,,P003848,Reject,Fall 2025
3.4-3.5,,P000744,Reject,Fall 2025
3.7-3.9,310-319,P000698,Admit,Fall 2023
3.4-3.5,310-319,P004904,Reject,Fall 2026
3.7-3.9,330-340,P000575,Waitlist,Fall 2025
2.8-3.0,,P004971,Reject,Fall 2024
3.5-3.7,290-299,P000778,Admit,Fall 2026
3.9-4.0,310-319,P002088,Admit,Fall 2024
3.5-3.7,310-319,P004854,Admit,Fall 2024
3.7-3.9,300-309,P003386,Admit,Fall 2023
3.4-3.5,300-309,P001528,Reject,Fall 2026
3.0-3.2,310-319,P004754,Reject,Fall 2025
3.5-3.7,320-329,P001109,Admit,Fall 2022
3.9-4.0,300-309,P003328,Reject,Fall 2023
3.4-3.5,,P000628,Admit,Fall 2025
3.4-3.5,,P000594,Admit,Fall 2025
3.5-3.7,,P004953,Admit,Fall 2026
3.9-4.0,,P003668,Admit,Fall 2023
3.5-3.7,320-329,P002772,Admit,Fall 2026
2.8-3.0,300-309,P001652,Reject,Fall 2025
3.9-4.0,,P000006,Waitlist,Fall 2025
3.2-3.4,,P004190,Reject,Fall 2024
3.5-3.7,,P000093,Admit,Fall 2025
3.7-3.9,320-329,P000316,Reject,Fall 2022
3.2-3.4,,P002818,Admit,Fall 2026
3.5-3.7,300-309,P000741,Admit,Fall 2023
3.4-3.5,,P001133,Admit,Fall 2022
3.5-3.7,,P003711,Admit,Fall 2025
3.2-3.4,,P002030,Reject,Fall 2025
3.4-3.5,310-319,P003781,Admit,Fall 2026
3.5-3.7,310-319,P003372,Admit,Fall 2024
3.5-3.7,,P004048,Reject,Fall 2024
3.5-3.7,,P002266,Reject,Fall 2024
3.5-3.7,,P003082,Admit,Fall 2026
3.4-3.5,310-319,P002548,Reject,Fall 2023
3.0-3.2,300-309,P002371,Admit,Fall 2023
3.5-3.7,,P002371,Admit,Fall 2026
3.4-3.5,320-329,P002464,Admit,Fall 2023
3.5-3.7,320-329,P004582,Reject,Fall 2024
3.0-3.2,320-329,P000449,Reject,Fall 2025
3.9-4.0,300-309,P001351,Admit,Fall 2026
3.5-3.7,330-340,P001262,Admit,Fall 2025
3.7-3.9,,P001392,Admit,Fall 2023
3.5-3.7,,P004992,Admit,Fall 2024
3.7-3.9,290-299,P003628,Reject,Fall 2023
3.4-3.5,310-319,P001986,Reject,Fall 2024
3.4-3.5,,P004378,Admit,Fall 2023
3.2-3.4,320-329,P002829,Admit,Fall 2024
3.9-4.0,,P003548,Admit,Fall 2024
3.2-3.4,310-319,P002733,Waitlist,Fall 2024
3.5-3.7,310-319,P004954,Admit,Fall 2025
3.5-3.7,330-340,P002447,Reject,Fall 2025
3.7-3.9,310-319,P003561,Reject,Fall 2026
3.2-3.4,320-329,P000968,Reject,Fall 2026
3.7-3.9,320-329,P002911,Admit,Fall 2026
3.2-3.4,320-329,P002204,Admit,Fall 2021
3.5-3.7,300-309,P003095,Reject,Fall 2025
3.4-3.5,,P002102,Admit,Fall 2023
3.5-3.7,,P001911,Admit,Fall 2025
3.2-3.4,330-340,P000806,Admit,Fall 2024
3.2-3.4,310-319,P000163,Reject,Fall 2023
3.2-3.4,,P001398,Reject,Fall 2026
3.4-3.5,300-309,P001329,Reject,Fall 2022
3.5-3.7,320-329,P001162,Admit,Fall 2025
3.2-3.4,330-340,P000232,Admit,Fall 2026
3.2-3.4,320-329,P002817,Reject,Fall 2025
3.5-3.7,320-329,P002749,Admit,Fall 2021
3.5-3.7,,P000312,Admit,Fall 2026
3.0-3.2,,P000532,Reject,Fall 2023
3.9-4.0,300-309,P000536,Waitlist,Fall 2021
3.5-3.7,290-299,P000664,Admit,Fall 2021
3.7-3.9,290-299,P003171,Reject,Fall 2024
3.5-3.7,310-319,P003086,Admit,Fall 2022
3.4-3.5,,P001655,Waitlist,Fall 2023
3.5-3.7,320-329,P000902,Admit,Fall 2025
3.5-3.7,300-309,P001482,Admit,Fall 2026
3.7-3.9,320-329,P001792,Admit,Fall 2024
3.7-3.9,,P002275,Waitlist,Fall 2025
3.2-3.4,,P003094,Admit,Fall 2026
3.5-3.7,320-329,P004826,Reject,Fall 2024
3.5-3.7,,P001764,Admit,Fall 2024
3.7-3.9,310-319,P001347,Waitlist,Fall 2026
3.7-3.9,,P002412,Reject,Fall 2025
3.2-3.4,310-319,P003412,Admit,Fall 2025
3.5-3.7,,P003189,Reject,Fall 2022
3.5-3.7,320-329,P004726,Admit,Fall 2024
3.2-3.4,320-329,P003093,Reject,Fall 2022
3.7-3.9,310-319,P004763,Reject,Fall 2024
2.8-3.0,,P004893,Reject,Fall 2026
3.5-3.7,320-329,P000987,Reject,Fall 2023
3.2-3.4,310-319,P000845,Waitlist,Fall 2023
3.0-3.2,,P004822,Reject,Fall 2024
3.2-3.4,290-299,P000211,Reject,Fall 2023
3.5-3.7,320-329,P000087,Reject,Fall 2026
3.4-3.5,310-319,P001590,Admit,Fall 2021
3.9-4.0,,P000777,Admit,Fall 2025
3.7-3.9,310-319,P004247,Admit,Fall 2023
3.5-3.7,,P000006,Reject,Fall 2022
3.0-3.2,,P002154,Admit,Fall 2024
3.5-3.7,310-319,P000342,Reject,Fall 2025
3.5-3.7,330-340,P001305,Admit,Fall 2026
3.4-3.5,330-340,P003775,Reject,Fall 2025
3.7-3.9,300-309,P004788,Admit,Fall 2026
3.7-3.9,320-329,P004592,Admit,Fall 2021
